"Percentile","men_treatment","women_treatment","max T"
0,0,0,0
0.05,1.45929322430427,0.0810540540540541,1.45929322430427
0.1,1.36784933853116,3.99526868780375,4.93030875922081
0.15,1.19469674663123,2.63373538961039,3.51883909814638
0.2,1.14353454711086,2.95200156213839,3.48465336346895
0.25,1.1688056042746,2.49822705134057,2.95462511466201
0.3,1.13423127254074,3.23947443181818,3.69459949780337
0.35,1.09981029858847,2.8391750003931,3.2567219350665
0.4,1.12436628114594,2.60539644534681,3.05677773699067
0.45,1.1091301687008,2.31627193020943,2.75728594675329
0.5,1.05217872585574,2.06269156407502,2.48958898529302
0.55,1.08427743926432,1.88266745674213,2.33939554670674
0.6,1.11125570183888,1.91552531590032,2.24128253246065
0.65,1.10086096967686,1.93994806874454,2.27692932015762
0.7,1.08285975704311,1.82370281060893,2.15541847411568
0.75,1.08093295668811,1.78362629382629,2.06858372957515
0.8,1.09929323979247,1.71539135443564,2.02321911609338
0.85,1.07147984324195,1.93970624905984,2.24963052677721
0.9,1.05833825384131,1.95719807300807,2.2586331094625
0.95,1.06573945969441,1.96672441840241,2.28157131170774
1,1.0429310623787,1.85922315719127,2.16564476447017
