"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,725.23526514349,697.174064473644,421.743093307903
0.2,1384.95479046518,984.409034656061,1052.22809605523
0.3,3126.31366192958,1877.50205315949,2195.65699540535
0.4,4132.58689593804,2592.74174063875,3271.38257886875
0.5,5520.49319401599,3259.74750845009,4311.59485495351
0.6,6031.37396079026,3782.15692466638,4723.07572968291
0.7,6633.10211099387,5297.93393955922,5516.41073473773
0.8,8000.40293838001,6268.4094891784,5907.24343909202
0.9,8993.23585857221,6266.0643365112,6617.01003504253
1,9866.05067395705,5448.25925368919,7649.74817939965
