"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,131.758294743887,72.1568248233891,99.0496172782012
0.2,203.68015966733,158.716020730219,150.295172336094
0.3,306.204389859064,241.947136051146,228.631973598697
0.4,406.604382571895,345.527058790667,315.2913740286
0.5,524.37389800349,448.496830937761,414.535900570739
0.6,625.56222624088,506.404809320661,490.636152493999
0.7,699.046575232704,516.430186826982,557.950124264137
0.8,805.182948167691,534.02468027173,637.678359925991
0.9,874.319388829874,547.41082818437,703.233769215593
1,980.577295054321,579.220943089973,779.290400741823
