"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,1094.84303861082,244.218471229052,258.919506737655
0.2,2073.86253621998,659.976398037556,1881.43127018946
0.3,2674.99700193562,1029.20895667416,2761.57590405396
0.4,2992.95486071659,1738.43401442431,2442.89778944905
0.5,4117.254287344,2540.1669086324,2753.52638773407
0.6,4368.73580602769,3217.60523589802,3372.7301600298
0.7,5363.64446103274,2786.07557042442,4148.15018635126
0.8,7873.64884182158,3803.16579498721,5463.94560043369
0.9,8312.13783439709,4863.34738620424,6787.17287092063
1,9866.05067395705,5448.25925368919,7649.74817939965
