"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,8.34836009766197,2.19451580362021,7.88711492834415
0.2,18.8530302574697,11.1608185748995,15.357958765506
0.3,24.9168030655949,18.6420890591347,19.5303180239759
0.4,31.0271899842076,26.7925301517258,24.0074444651924
0.5,40.1177798975421,31.988136471565,31.4773039366708
0.6,46.8666663974157,35.6277921122621,37.0647461465499
0.7,61.2173803198718,35.612185099007,47.5285990363691
0.8,68.0755848133728,40.7902434526907,50.8794826168441
0.9,68.858868686414,39.2148447811651,52.413106573671
1,87.3413900019208,39.8316191683695,63.5064601034004
