"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,592.863700725408,407.379229036672,464.081189149559
0.2,2599.06234118519,1540.90597409967,1042.13307186091
0.3,2355.06124187651,1872.49837438164,2614.46678117432
0.4,3122.26572786517,2778.48251759325,3172.63722928559
0.5,3576.88011268995,3164.29322569245,3280.29467992364
0.6,4219.09838293144,3753.39193048039,3411.15219604366
0.7,6142.05907551407,3529.13145504593,4061.14128254687
0.8,7848.92880722676,3925.42303492734,5702.34236282999
0.9,9338.23615949132,5829.86367859012,7096.79938918243
1,9866.05067395705,5448.25925368919,7649.74817939965
