"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,15.085851871126,2.90095017645101,12.572444714182
0.2,27.1511512045339,15.4861415306251,21.5529461611703
0.3,37.3240400522369,23.8613859853997,26.925443201186
0.4,45.7855440864538,26.21154707669,32.0246094801979
0.5,52.3143943872323,29.7635651718513,36.188755722029
0.6,63.7686373618128,30.9706933405863,44.5791827185054
0.7,70.978274001464,27.9317923158174,49.0517404701195
0.8,74.629382152414,33.2651009444047,53.8807784787297
0.9,82.5802720920857,35.6687822500147,60.2076113336025
1,87.3413900019208,39.8316191683695,63.5064601034004
