"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,8068.80268775447,3205.40286460672,4872.03913859567
0.2,8239.40087667354,3799.17821972711,5228.26572478484
0.3,8691.59526227811,4263.32499064627,5717.16780850941
0.4,9228.77691119336,4819.34726045515,6216.32156254751
0.5,9969.99411885805,5423.15752730212,6411.92747114406
0.6,9995.87496255857,5542.20377463944,6644.38054476091
0.7,10766.335615877,5246.79095163656,7220.16149700027
0.8,11518.5418940165,5443.32476122941,7599.74034644477
0.9,11355.6033111571,5454.04077626737,7389.07133028728
1,9858.06184770768,5422.10227878975,7625.25756213462
