"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,107.329322327907,68.8224651447407,94.6307531159849
0.2,206.316224077912,145.699912087592,161.838433882997
0.3,303.560199609294,187.738999430343,238.410170154725
0.4,413.176333185272,268.147591014686,321.618840023007
0.5,510.326937518686,336.49511551075,389.478243803586
0.6,585.877846272209,387.821840570491,479.862843911919
0.7,682.837976942298,408.579530030617,539.510807224824
0.8,758.010179529503,472.266183871742,616.482311727922
0.9,872.798821742561,521.373503021855,691.255417430537
1,980.577295054321,579.220943089973,779.290400741823
