"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,6276.52564219098,4858.02567607738,4612.7585823504
0.2,6798.95734900815,5274.50690613803,5193.0683270104
0.3,7321.18114410404,6284.48161827115,6012.94925752373
0.4,7822.65654560559,6924.45933059619,6521.69355933808
0.5,8336.6258200409,7351.45502394926,6945.91040167581
0.6,8850.5188298007,7755.88247935412,7412.49694259919
0.7,8842.23761135807,8331.95681970386,7566.50797787699
0.8,9358.86300779316,8423.05907098408,7996.15763776613
0.9,9462.31935583039,8120.60408802515,8033.94202330071
1,9858.06184770768,5422.10227878975,7625.25756213462
