"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,302.87455016834,1716.49021498596,832.246436506896
0.2,541.097618757476,1665.54013798611,1832.61350908551
0.3,2522.15930587772,2232.09454215757,1767.1437299402
0.4,3444.57638410621,2469.35829660741,3499.5512401389
0.5,4654.85099275628,3066.24256199072,3747.86703755704
0.6,6037.554856712,4054.15425339014,4728.28885653356
0.7,6849.17633725342,4751.00630853851,6161.37309321603
0.8,7970.74104305925,4909.7382075432,6803.8375190199
0.9,9734.79335754422,5019.96974078769,7377.6423610514
1,9866.05067395705,5448.25925368919,7649.74817939965
