"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,122.310342023379,90.4373174800099,85.7084759386148
0.2,200.997578813486,170.155104310062,166.119035049884
0.3,290.506884645646,224.874719960354,247.570681887332
0.4,425.051156532942,290.646680736688,325.590776134392
0.5,512.101093781868,343.615559860405,401.554503287234
0.6,602.20182901378,386.989884325834,468.670939261362
0.7,673.183674251042,442.188217648457,549.402452893642
0.8,758.266717037932,494.995756624326,622.585641163233
0.9,865.801345451309,523.277178264856,687.414333199456
1,980.577295054321,579.220943089973,779.290400741823
