"","percentile","model","mean_sd"
"71",1,"random_forest_frac","44.7 (18.55)"
"64",0.9,"random_forest_frac","69.05 (15.96)"
"57",0.8,"random_forest_frac","66.47 (15.67)"
"50",0.7,"random_forest_frac","65.28 (16.23)"
"43",0.6,"random_forest_frac","63.89 (14.83)"
"36",0.5,"random_forest_frac","62.8 (12.66)"
"29",0.4,"random_forest_frac","61.43 (12.94)"
"22",0.3,"random_forest_frac","61.46 (10.56)"
"15",0.2,"random_forest_frac","59.87 (8.72)"
"8",0.1,"random_forest_frac","54.99 (7.1)"
"1",0,"random_forest_frac","0 (0)"
"72",1,"random_forest_max","44.7 (18.55)"
"65",0.9,"random_forest_max","68.65 (16.7)"
"58",0.8,"random_forest_max","65.46 (16)"
"51",0.7,"random_forest_max","65.68 (14.1)"
"44",0.6,"random_forest_max","63.49 (12.67)"
"37",0.5,"random_forest_max","62.81 (13.23)"
"30",0.4,"random_forest_max","62.74 (12)"
"23",0.3,"random_forest_max","60.07 (11.14)"
"16",0.2,"random_forest_max","59.28 (8.75)"
"9",0.1,"random_forest_max","54.99 (6.46)"
"2",0,"random_forest_max","0 (0)"
"73",1,"cts","44.7 (18.55)"
"66",0.9,"cts","58.17 (14.35)"
"59",0.8,"cts","58.3 (12.48)"
"52",0.7,"cts","58.22 (12.48)"
"45",0.6,"cts","55.74 (11.55)"
"38",0.5,"cts","51.45 (12.2)"
"31",0.4,"cts","47.98 (8.92)"
"24",0.3,"cts","43 (8.57)"
"17",0.2,"cts","35.02 (8.01)"
"10",0.1,"cts","25.9 (6.57)"
"3",0,"cts","0 (0)"
"74",1,"sma rf","44.7 (18.55)"
"67",0.9,"sma rf","69.04 (17.86)"
"60",0.8,"sma rf","66.36 (16.48)"
"53",0.7,"sma rf","64.57 (15.85)"
"46",0.6,"sma rf","64.9 (15.45)"
"39",0.5,"sma rf","63.91 (12.17)"
"32",0.4,"sma rf","61.43 (11.89)"
"25",0.3,"sma rf","59.15 (10.84)"
"18",0.2,"sma rf","55.87 (7.58)"
"11",0.1,"sma rf","52.78 (7.12)"
"4",0,"sma rf","0 (0)"
"75",1,"causal_forest","44.7 (18.55)"
"68",0.9,"causal_forest","58.05 (12.95)"
"61",0.8,"causal_forest","59.42 (13.42)"
"54",0.7,"causal_forest","56.41 (12.65)"
"47",0.6,"causal_forest","54.56 (12.35)"
"40",0.5,"causal_forest","49.77 (9.6)"
"33",0.4,"causal_forest","46.6 (8.39)"
"26",0.3,"causal_forest","42.73 (6.68)"
"19",0.2,"causal_forest","37.37 (5.52)"
"12",0.1,"causal_forest","31.19 (4.22)"
"5",0,"causal_forest","0 (0)"
"76",1,"rzp_EucDistance","44.7 (18.55)"
"69",0.9,"rzp_EucDistance","53.51 (15.02)"
"62",0.8,"rzp_EucDistance","54.25 (13.42)"
"55",0.7,"rzp_EucDistance","52.96 (11.49)"
"48",0.6,"rzp_EucDistance","50.5 (12.1)"
"41",0.5,"rzp_EucDistance","47.03 (10.69)"
"34",0.4,"rzp_EucDistance","45.07 (10.9)"
"27",0.3,"rzp_EucDistance","40.14 (7.77)"
"20",0.2,"rzp_EucDistance","30.05 (7.84)"
"13",0.1,"rzp_EucDistance","18.08 (6.84)"
"6",0,"rzp_EucDistance","0 (0)"
"77",1,"rzp_binary_KL_divergence","44.7 (18.55)"
"70",0.9,"rzp_binary_KL_divergence","48.26 (14.9)"
"63",0.8,"rzp_binary_KL_divergence","48.39 (14.66)"
"56",0.7,"rzp_binary_KL_divergence","45.03 (14.19)"
"49",0.6,"rzp_binary_KL_divergence","43.36 (12.33)"
"42",0.5,"rzp_binary_KL_divergence","41.09 (11.68)"
"35",0.4,"rzp_binary_KL_divergence","35.53 (9.34)"
"28",0.3,"rzp_binary_KL_divergence","30.47 (9.85)"
"21",0.2,"rzp_binary_KL_divergence","24.26 (8.34)"
"14",0.1,"rzp_binary_KL_divergence","15.38 (6.31)"
"7",0,"rzp_binary_KL_divergence","0 (0)"
