"","percentile","model","mean_sd"
"71",100,"Causal Forest","1.74 (0.18)"
"64",90,"Causal Forest","1.75 (0.19)"
"57",80,"Causal Forest","1.72 (0.2)"
"50",70,"Causal Forest","1.69 (0.21)"
"43",60,"Causal Forest","1.65 (0.21)"
"36",50,"Causal Forest","1.59 (0.18)"
"29",40,"Causal Forest","1.51 (0.17)"
"22",30,"Causal Forest","1.43 (0.16)"
"15",20,"Causal Forest","1.33 (0.18)"
"8",10,"Causal Forest","1.19 (0.2)"
"1",0,"Causal Forest","0.59 (0.11)"
"72",100,"CTS","1.98 (0.19)"
"65",90,"CTS","1.98 (0.19)"
"58",80,"CTS","1.97 (0.19)"
"51",70,"CTS","1.97 (0.19)"
"44",60,"CTS","1.96 (0.17)"
"37",50,"CTS","1.93 (0.17)"
"30",40,"CTS","1.9 (0.17)"
"23",30,"CTS","1.86 (0.19)"
"16",20,"CTS","1.79 (0.17)"
"9",10,"CTS","1.66 (0.14)"
"2",0,"CTS","0.59 (0.11)"
"73",100,"DOM","2.01 (0.2)"
"66",90,"DOM","2.01 (0.2)"
"59",80,"DOM","2 (0.21)"
"52",70,"DOM","1.97 (0.19)"
"45",60,"DOM","1.95 (0.19)"
"38",50,"DOM","1.93 (0.18)"
"31",40,"DOM","1.93 (0.18)"
"24",30,"DOM","1.91 (0.17)"
"17",20,"DOM","1.86 (0.17)"
"10",10,"DOM","1.82 (0.15)"
"3",0,"DOM","0.59 (0.11)"
"74",100,"random_forest_max","2.02 (0.19)"
"67",90,"random_forest_max","2.02 (0.19)"
"60",80,"random_forest_max","2 (0.19)"
"53",70,"random_forest_max","1.97 (0.19)"
"46",60,"random_forest_max","1.95 (0.19)"
"39",50,"random_forest_max","1.94 (0.18)"
"32",40,"random_forest_max","1.92 (0.18)"
"25",30,"random_forest_max","1.9 (0.18)"
"18",20,"random_forest_max","1.87 (0.17)"
"11",10,"random_forest_max","1.81 (0.14)"
"4",0,"random_forest_max","0.59 (0.11)"
"75",100,"Rzp-ED","1.91 (0.19)"
"68",90,"Rzp-ED","1.92 (0.19)"
"61",80,"Rzp-ED","1.91 (0.17)"
"54",70,"Rzp-ED","1.9 (0.17)"
"47",60,"Rzp-ED","1.84 (0.17)"
"40",50,"Rzp-ED","1.78 (0.17)"
"33",40,"Rzp-ED","1.72 (0.17)"
"26",30,"Rzp-ED","1.63 (0.16)"
"19",20,"Rzp-ED","1.48 (0.14)"
"12",10,"Rzp-ED","1.3 (0.15)"
"5",0,"Rzp-ED","0.59 (0.11)"
"76",100,"rzp_binary_KL_divergence","1.62 (0.18)"
"69",90,"rzp_binary_KL_divergence","1.64 (0.2)"
"62",80,"rzp_binary_KL_divergence","1.6 (0.18)"
"55",70,"rzp_binary_KL_divergence","1.57 (0.18)"
"48",60,"rzp_binary_KL_divergence","1.51 (0.16)"
"41",50,"rzp_binary_KL_divergence","1.44 (0.15)"
"34",40,"rzp_binary_KL_divergence","1.35 (0.15)"
"27",30,"rzp_binary_KL_divergence","1.25 (0.15)"
"20",20,"rzp_binary_KL_divergence","1.13 (0.14)"
"13",10,"rzp_binary_KL_divergence","0.96 (0.13)"
"6",0,"rzp_binary_KL_divergence","0.59 (0.11)"
"77",100,"SMA","1.89 (0.17)"
"70",90,"SMA","1.89 (0.17)"
"63",80,"SMA","1.89 (0.17)"
"56",70,"SMA","1.89 (0.17)"
"49",60,"SMA","1.89 (0.17)"
"42",50,"SMA","1.89 (0.17)"
"35",40,"SMA","1.89 (0.17)"
"28",30,"SMA","1.87 (0.17)"
"21",20,"SMA","1.82 (0.17)"
"14",10,"SMA","1.78 (0.15)"
"7",0,"SMA","0.59 (0.11)"
