"","percentile","model","mean_sd"
"51",100,"Causal Forest","135.35 (82.78)"
"46",90,"Causal Forest","282.87 (140.94)"
"41",80,"Causal Forest","293.08 (120.33)"
"36",70,"Causal Forest","269.79 (144.61)"
"31",60,"Causal Forest","270.71 (155.89)"
"26",50,"Causal Forest","277.1 (151.82)"
"21",40,"Causal Forest","207.29 (158.59)"
"16",30,"Causal Forest","218.69 (115.31)"
"11",20,"Causal Forest","191.23 (86.14)"
"6",10,"Causal Forest","145.68 (56.48)"
"1",0,"Causal Forest","0 (0)"
"52",100,"CTS","123.33 (98.58)"
"47",90,"CTS","439.09 (86.25)"
"42",80,"CTS","469.02 (72.29)"
"37",70,"CTS","461.71 (82.65)"
"32",60,"CTS","418.66 (82.29)"
"27",50,"CTS","378.16 (77.45)"
"22",40,"CTS","324 (74.24)"
"17",30,"CTS","261.37 (31.03)"
"12",20,"CTS","149.53 (35.92)"
"7",10,"CTS","107.7 (54.59)"
"2",0,"CTS","0 (0)"
"53",100,"DOM","135.35 (82.78)"
"48",90,"DOM","738.57 (310.03)"
"43",80,"DOM","783.74 (346.82)"
"38",70,"DOM","791.98 (336.94)"
"33",60,"DOM","788.78 (321.07)"
"28",50,"DOM","798.81 (312.63)"
"23",40,"DOM","765.87 (316.77)"
"18",30,"DOM","760.6 (321.54)"
"13",20,"DOM","672.2 (316.27)"
"8",10,"DOM","496.34 (266.91)"
"3",0,"DOM","0 (0)"
"54",100,"random_forest_max","135.35 (82.78)"
"49",90,"random_forest_max","407.59 (161.37)"
"44",80,"random_forest_max","402.76 (171.56)"
"39",70,"random_forest_max","411.77 (178.93)"
"34",60,"random_forest_max","402.71 (171.14)"
"29",50,"random_forest_max","400.87 (178.82)"
"24",40,"random_forest_max","387.98 (153.43)"
"19",30,"random_forest_max","352.65 (134.31)"
"14",20,"random_forest_max","274.74 (91.97)"
"9",10,"random_forest_max","171.64 (104.8)"
"4",0,"random_forest_max","0 (0)"
"55",100,"SMA","135.35 (82.78)"
"50",90,"SMA","701.09 (313.13)"
"45",80,"SMA","719.45 (301.15)"
"40",70,"SMA","710.59 (304.35)"
"35",60,"SMA","704.13 (319.79)"
"30",50,"SMA","695.6 (330.25)"
"25",40,"SMA","664.19 (340.08)"
"20",30,"SMA","607.59 (345.1)"
"15",20,"SMA","557.49 (318.83)"
"10",10,"SMA","410.71 (254.86)"
"5",0,"SMA","0 (0)"
