"","percentile","model","mean_sd"
"51",100,"Causal Forest","42.87 (10.29)"
"46",90,"Causal Forest","43.89 (10.5)"
"41",80,"Causal Forest","43.4 (10.56)"
"36",70,"Causal Forest","43.21 (10.45)"
"31",60,"Causal Forest","42.85 (10.61)"
"26",50,"Causal Forest","42.41 (10.37)"
"21",40,"Causal Forest","41.4 (10.17)"
"16",30,"Causal Forest","40.32 (10.26)"
"11",20,"Causal Forest","38.7 (10.52)"
"6",10,"Causal Forest","34.89 (10.21)"
"1",0,"Causal Forest","19.15 (0.92)"
"52",100,"CTS","22.41 (3.44)"
"47",90,"CTS","22.44 (4.15)"
"42",80,"CTS","22.72 (4.29)"
"37",70,"CTS","23.43 (4.27)"
"32",60,"CTS","23.79 (4.07)"
"27",50,"CTS","23.98 (3.56)"
"22",40,"CTS","23.16 (2.76)"
"17",30,"CTS","23.01 (2.93)"
"12",20,"CTS","22.84 (2.68)"
"7",10,"CTS","22.05 (2.52)"
"2",0,"CTS","19.15 (0.92)"
"53",100,"DOM","73.89 (9)"
"48",90,"DOM","73.89 (9)"
"43",80,"DOM","73.78 (9.04)"
"38",70,"DOM","73.6 (9.03)"
"33",60,"DOM","73.47 (9.12)"
"28",50,"DOM","73.1 (8.98)"
"23",40,"DOM","72.52 (8.95)"
"18",30,"DOM","71.56 (8.89)"
"13",20,"DOM","69.77 (8.82)"
"8",10,"DOM","64.78 (8.24)"
"3",0,"DOM","19.15 (0.92)"
"54",100,"random_forest_max","51.63 (9.62)"
"49",90,"random_forest_max","51.6 (9.76)"
"44",80,"random_forest_max","51.58 (9.87)"
"39",70,"random_forest_max","51.18 (9.88)"
"34",60,"random_forest_max","50.48 (9.54)"
"29",50,"random_forest_max","49.44 (10.21)"
"24",40,"random_forest_max","48.92 (10.16)"
"19",30,"random_forest_max","47.76 (10.35)"
"14",20,"random_forest_max","45.8 (10.42)"
"9",10,"random_forest_max","41.68 (10.08)"
"4",0,"random_forest_max","19.15 (0.92)"
"55",100,"SMA","56.78 (8.85)"
"50",90,"SMA","56.88 (8.87)"
"45",80,"SMA","56.86 (8.97)"
"40",70,"SMA","56.68 (8.79)"
"35",60,"SMA","56.28 (8.85)"
"30",50,"SMA","55.3 (9.12)"
"25",40,"SMA","53.98 (9.19)"
"20",30,"SMA","50.75 (9.83)"
"15",20,"SMA","46.34 (9.86)"
"10",10,"SMA","39.49 (10.32)"
"5",0,"SMA","19.15 (0.92)"
