"","percentile","model","mean_sd"
"51",100,"Causal Forest","47.67 (12.72)"
"46",90,"Causal Forest","48.34 (12.7)"
"41",80,"Causal Forest","48.62 (12.45)"
"36",70,"Causal Forest","48.57 (12.5)"
"31",60,"Causal Forest","48.03 (11.85)"
"26",50,"Causal Forest","48.01 (11.75)"
"21",40,"Causal Forest","47.05 (11.45)"
"16",30,"Causal Forest","45.52 (11.2)"
"11",20,"Causal Forest","44.53 (11.68)"
"6",10,"Causal Forest","41.62 (10.95)"
"1",0,"Causal Forest","18.53 (0.84)"
"52",100,"CTS","36.1 (12.59)"
"47",90,"CTS","36.05 (11.91)"
"42",80,"CTS","35.73 (11.79)"
"37",70,"CTS","35.12 (10.91)"
"32",60,"CTS","34.91 (11.35)"
"27",50,"CTS","32.8 (10.97)"
"22",40,"CTS","32.79 (11.1)"
"17",30,"CTS","32.43 (11.41)"
"12",20,"CTS","29.82 (8.87)"
"7",10,"CTS","27.58 (8.3)"
"2",0,"CTS","18.53 (0.84)"
"53",100,"DOM","70.43 (15.44)"
"48",90,"DOM","70.43 (15.44)"
"43",80,"DOM","70.38 (15.37)"
"38",70,"DOM","70.44 (15.29)"
"33",60,"DOM","69.85 (15.64)"
"28",50,"DOM","69.07 (15.47)"
"23",40,"DOM","68.04 (15.6)"
"18",30,"DOM","66.38 (15.71)"
"13",20,"DOM","64.18 (15.59)"
"8",10,"DOM","58.17 (15.32)"
"3",0,"DOM","18.53 (0.84)"
"54",100,"random_forest_max","52.69 (14.9)"
"49",90,"random_forest_max","52.69 (14.99)"
"44",80,"random_forest_max","52.57 (15.11)"
"39",70,"random_forest_max","52.14 (14.85)"
"34",60,"random_forest_max","51.94 (14.64)"
"29",50,"random_forest_max","51.35 (15.09)"
"24",40,"random_forest_max","50.29 (14.72)"
"19",30,"random_forest_max","49.2 (15)"
"14",20,"random_forest_max","47.74 (15.17)"
"9",10,"random_forest_max","44.47 (14.52)"
"4",0,"random_forest_max","18.53 (0.84)"
"55",100,"SMA","57.59 (13.62)"
"50",90,"SMA","57.7 (13.34)"
"45",80,"SMA","57.63 (13.4)"
"40",70,"SMA","57.1 (13.43)"
"35",60,"SMA","57.07 (13.21)"
"30",50,"SMA","56.6 (13.16)"
"25",40,"SMA","55.85 (13.24)"
"20",30,"SMA","53.83 (13.98)"
"15",20,"SMA","51.58 (13.79)"
"10",10,"SMA","46.98 (12.45)"
"5",0,"SMA","18.53 (0.84)"
