"","percentile","model","mean_sd"
"51",100,"Causal Forest","5539.78 (1985.08)"
"46",90,"Causal Forest","7020.25 (1802.25)"
"41",80,"Causal Forest","6934.46 (1684.34)"
"36",70,"Causal Forest","6698.25 (1688.9)"
"31",60,"Causal Forest","6474.96 (1699.18)"
"26",50,"Causal Forest","6159.97 (1644.23)"
"21",40,"Causal Forest","5625.29 (1739.72)"
"16",30,"Causal Forest","4909.88 (1670.31)"
"11",20,"Causal Forest","4119.31 (1482.33)"
"6",10,"Causal Forest","3317.07 (1190.18)"
"1",0,"Causal Forest","0 (0)"
"52",100,"CTS","5539.78 (1985.08)"
"47",90,"CTS","7135.72 (1822.57)"
"42",80,"CTS","6924.3 (1823.68)"
"37",70,"CTS","6646.36 (1501.72)"
"32",60,"CTS","6235.9 (1619.42)"
"27",50,"CTS","5890.92 (1613.88)"
"22",40,"CTS","5553.47 (1438.86)"
"17",30,"CTS","4961.32 (1376.4)"
"12",20,"CTS","4456.92 (1359.31)"
"7",10,"CTS","3378.66 (1044.11)"
"2",0,"CTS","0 (0)"
"53",100,"DOM","5539.78 (1985.08)"
"48",90,"DOM","8019.44 (1945.35)"
"43",80,"DOM","7802.64 (1822.25)"
"38",70,"DOM","7616.13 (1931.91)"
"33",60,"DOM","7538.98 (1790.62)"
"28",50,"DOM","7344.51 (1838.45)"
"23",40,"DOM","6990.95 (2002.53)"
"18",30,"DOM","6869.3 (1850.59)"
"13",20,"DOM","6439.96 (1903.96)"
"8",10,"DOM","5783.2 (1627.16)"
"3",0,"DOM","0 (0)"
"54",100,"random_forest_max","5539.78 (1985.08)"
"49",90,"random_forest_max","7979.02 (1866.79)"
"44",80,"random_forest_max","7781.92 (1901.87)"
"39",70,"random_forest_max","7498.09 (1844.71)"
"34",60,"random_forest_max","7361.23 (1813.55)"
"29",50,"random_forest_max","7299.07 (1836.79)"
"24",40,"random_forest_max","7100.96 (2027.02)"
"19",30,"random_forest_max","6895.76 (1833.39)"
"14",20,"random_forest_max","6514.85 (1788.52)"
"9",10,"random_forest_max","5784.6 (1537.15)"
"4",0,"random_forest_max","0 (0)"
"55",100,"SMA","5539.78 (1985.08)"
"50",90,"SMA","8154.41 (1798.3)"
"45",80,"SMA","7871.63 (1949.54)"
"40",70,"SMA","7741.34 (1970.24)"
"35",60,"SMA","7655.73 (1934.23)"
"30",50,"SMA","7421.37 (2217.69)"
"25",40,"SMA","7175.71 (2157.02)"
"20",30,"SMA","6952.07 (2034.35)"
"15",20,"SMA","6775.29 (1854.63)"
"10",10,"SMA","6068.99 (1674.68)"
"5",0,"SMA","0 (0)"
