"","percentile","model","mean_sd"
"51",1e+08,"Causal Forest","120.35 (140.41)"
"46",9e+07,"Causal Forest","371.64 (173.31)"
"41",8e+07,"Causal Forest","409.81 (170.25)"
"36",7e+07,"Causal Forest","420.84 (175.09)"
"31",6e+07,"Causal Forest","419.19 (174.19)"
"26",5e+07,"Causal Forest","406.34 (188.39)"
"21",4e+07,"Causal Forest","373.21 (188.47)"
"16",3e+07,"Causal Forest","335.26 (189.03)"
"11",2e+07,"Causal Forest","278.81 (188.17)"
"6",1e+07,"Causal Forest","218.58 (140.99)"
"1",0,"Causal Forest","0 (0)"
"52",1e+08,"CTS","120.35 (140.41)"
"47",9e+07,"CTS","421.59 (165.09)"
"42",8e+07,"CTS","434.37 (172.64)"
"37",7e+07,"CTS","430.77 (180.69)"
"32",6e+07,"CTS","419.33 (163.21)"
"27",5e+07,"CTS","380.42 (144.06)"
"22",4e+07,"CTS","333.62 (147.01)"
"17",3e+07,"CTS","277.17 (136.16)"
"12",2e+07,"CTS","219.13 (112.52)"
"7",1e+07,"CTS","153.89 (75.55)"
"2",0,"CTS","0 (0)"
"53",1e+08,"random_forest_frac","120.35 (140.41)"
"48",9e+07,"random_forest_frac","1020.58 (219.18)"
"43",8e+07,"random_forest_frac","1070.38 (248.44)"
"38",7e+07,"random_forest_frac","1077.56 (235.85)"
"33",6e+07,"random_forest_frac","1082.19 (244.2)"
"28",5e+07,"random_forest_frac","1076.3 (228.24)"
"23",4e+07,"random_forest_frac","1057.97 (222.37)"
"18",3e+07,"random_forest_frac","1029.91 (217.23)"
"13",2e+07,"random_forest_frac","973.89 (207.45)"
"8",1e+07,"random_forest_frac","826.94 (187.34)"
"3",0,"random_forest_frac","0 (0)"
"54",1e+08,"random_forest_max","120.35 (140.41)"
"49",9e+07,"random_forest_max","603.77 (166.14)"
"44",8e+07,"random_forest_max","636.64 (189.6)"
"39",7e+07,"random_forest_max","628.02 (195.96)"
"34",6e+07,"random_forest_max","615.26 (188.1)"
"29",5e+07,"random_forest_max","597.27 (183.18)"
"24",4e+07,"random_forest_max","568.53 (177.63)"
"19",3e+07,"random_forest_max","530.52 (154.54)"
"14",2e+07,"random_forest_max","469.89 (148.6)"
"9",1e+07,"random_forest_max","358.14 (124.66)"
"4",0,"random_forest_max","0 (0)"
"55",1e+08,"SMA","120.35 (140.41)"
"50",9e+07,"SMA","877.17 (205.08)"
"45",8e+07,"SMA","904.65 (211.64)"
"40",7e+07,"SMA","907.58 (207.21)"
"35",6e+07,"SMA","903.09 (207.65)"
"30",5e+07,"SMA","878.81 (210.2)"
"25",4e+07,"SMA","828.58 (212.79)"
"20",3e+07,"SMA","783.22 (215.63)"
"15",2e+07,"SMA","669.06 (206.88)"
"10",1e+07,"SMA","482.26 (202.54)"
"5",0,"SMA","0 (0)"
