"","percentile","model","mean_sd"
"51",100,"Causal Forest","215.52 (33)"
"46",90,"Causal Forest","217.37 (33.2)"
"41",80,"Causal Forest","214.37 (29.99)"
"36",70,"Causal Forest","209.32 (29)"
"31",60,"Causal Forest","204.48 (27.68)"
"26",50,"Causal Forest","196.74 (27.39)"
"21",40,"Causal Forest","187.88 (28.44)"
"16",30,"Causal Forest","180.74 (24.27)"
"11",20,"Causal Forest","169.12 (24.22)"
"6",10,"Causal Forest","152.83 (28.12)"
"1",0,"Causal Forest","68.44 (17.3)"
"52",100,"CTS","234.56 (28.94)"
"47",90,"CTS","234.56 (28.94)"
"42",80,"CTS","234.06 (31.26)"
"37",70,"CTS","231.94 (31.6)"
"32",60,"CTS","230.9 (31.07)"
"27",50,"CTS","225.66 (30.86)"
"22",40,"CTS","221.13 (31.4)"
"17",30,"CTS","215.21 (29.4)"
"12",20,"CTS","207.84 (32.32)"
"7",10,"CTS","188.1 (25.6)"
"2",0,"CTS","68.44 (17.3)"
"53",100,"DOM","238.63 (28.91)"
"48",90,"DOM","238.63 (28.91)"
"43",80,"DOM","237.89 (28.64)"
"38",70,"DOM","233.96 (29.26)"
"33",60,"DOM","231.61 (29.61)"
"28",50,"DOM","228.79 (31.32)"
"23",40,"DOM","230.3 (31.13)"
"18",30,"DOM","228 (30.75)"
"13",20,"DOM","222.81 (28.41)"
"8",10,"DOM","212.19 (30.28)"
"3",0,"DOM","68.44 (17.3)"
"54",100,"random_forest_max","240.02 (30.76)"
"49",90,"random_forest_max","240.02 (30.76)"
"44",80,"random_forest_max","237.54 (30.47)"
"39",70,"random_forest_max","236.55 (29.42)"
"34",60,"random_forest_max","233.91 (28.38)"
"29",50,"random_forest_max","233.97 (27.33)"
"24",40,"random_forest_max","232.54 (29.02)"
"19",30,"random_forest_max","226.59 (29.45)"
"14",20,"random_forest_max","223.83 (28)"
"9",10,"random_forest_max","211.82 (28.27)"
"4",0,"random_forest_max","68.44 (17.3)"
"55",100,"SMA","244.1 (32.24)"
"50",90,"SMA","244.1 (32.24)"
"45",80,"SMA","243.52 (32.73)"
"40",70,"SMA","238.62 (30.73)"
"35",60,"SMA","236.15 (31.29)"
"30",50,"SMA","235.75 (30.29)"
"25",40,"SMA","234.52 (29.78)"
"20",30,"SMA","231.67 (28.24)"
"15",20,"SMA","225.67 (26.24)"
"10",10,"SMA","220.3 (29.06)"
"5",0,"SMA","68.44 (17.3)"
